Item Number,Category Name,Item Description,Vendor,Vendor Name,Bottle Volume (ml),Pack,Inner Pack,Age,Proof,List Date,UPC,SCC,State Bottle Cost,State Case Cost,State Bottle Retail,Report Date
101770,TEMPORARY & SPECIALTY PACKAGES,JAGERMEISTER W/FLASK & FUNNEL,192,"MAST-JAGERMEISTER US, INC",750,6,1,0,70,09/01/2022,83089000253,,14.35,86.10,21.53,01/01/2026
101773,TEMPORARY & SPECIALTY PACKAGES,CAROLANS HOLIDAY W/BRANDED ROCKS GLASSES,259,HEAVEN HILL BRANDS,750,6,1,0,34,07/01/2022,810845030144,,9.50,57.00,14.25,01/01/2026
101774,TEMPORARY & SPECIALTY PACKAGES,CHIVAS 12YR W/HIGHBALL GLASS,370,PERNOD RICARD USA,750,6,1,12,80,10/01/2022,80432000168,10083664874139,19.48,116.88,29.22,01/01/2026
101786,TEMPORARY & SPECIALTY PACKAGES,CAPTAIN MORGAN OSR W/HELMET POURER,260,DIAGEO AMERICAS,1750,6,1,0,70,09/01/2022,82000801061,10083664874139,18.99,113.94,28.49,01/01/2026
101787,TEMPORARY & SPECIALTY PACKAGES,CAPTAIN MORGAN OSR 1.75L PET W/HELMET POURER,260,DIAGEO AMERICAS,1750,6,1,0,70,09/01/2022,82000801078,10083664874139,18.99,113.94,28.49,01/01/2026
101791,TEMPORARY & SPECIALTY PACKAGES,BULLEIT BOURBON WHISKEY W/MUG,260,DIAGEO AMERICAS,750,6,1,0,90,09/01/2024,82000801085,10083664874139,17.99,107.94,26.99,01/01/2026
101794,TEMPORARY & SPECIALTY PACKAGES,TORRES 10 BRANDY W/2 GLASSES,255,INFINIUM SPIRITS,750,6,1,10,80,11/01/2025,88586006517,10083664874139,10.99,65.94,16.49,01/01/2026
101796,TEMPORARY & SPECIALTY PACKAGES,BIRD DOG PEANUT BUTTER FLAVORED WHISKEY W/2 MINIS,492,WESTERN SPIRITS BEVERAGE,850,6,1,0,80,10/01/2022,812459015548,10083664874139,11.50,69.00,17.25,01/01/2026
101800,TEMPORARY & SPECIALTY PACKAGES,BIRD DOG SALTED CARAMEL FLAVORED WHISKEY W/2 MINIS,492,WESTERN SPIRITS BEVERAGE,850,6,1,0,80,10/01/2022,812459015555,10083664874139,11.50,69.00,17.25,01/01/2026
101802,TEMPORARY & SPECIALTY PACKAGES,BIRD DOG BLACKBERRY FLAVORED WHISKEY W/2 MINIS,492,WESTERN SPIRITS BEVERAGE,850,6,1,0,80,10/01/2022,812459015531,10083664874139,11.50,69.00,17.25,01/01/2026
101809,AMERICAN FLAVORED VODKA,TRULY 50ML PARTY PACK MINIS,065,JIM BEAM BRANDS,50,1,90,0,60,04/01/2022,80686896197,,54.00,54.00,81.00,01/01/2026
101813,STRAIGHT BOURBON WHISKIES,JIM BEAM GLASS TRAYPACK,065,JIM BEAM BRANDS,1750,6,1,0,80,04/01/2022,80686001102,,21.50,129.00,32.25,01/01/2026
101804,TEMPORARY & SPECIALTY PACKAGES,BIRD DOG PEACH FLAVORED WHISKEY W/2 MINIS,492,WESTERN SPIRITS BEVERAGE,850,6,1,0,80,10/01/2022,812459015524,10083664874139,11.50,69.00,17.25,01/01/2026
101815,TEMPORARY & SPECIALTY PACKAGES,ELIJAH CRAIG SMALL BATCH W/OLD FASHION & JIGGER,259,HEAVEN HILL BRANDS,750,6,1,0,94,10/01/2025,96749004041,,18.00,108.00,27.00,01/01/2026
101819,TEMPORARY & SPECIALTY PACKAGES,RABBIT HOLE 2PK W/CAVEHILL & HEIGOLD,370,PERNOD RICARD USA,750,6,2,0,95,10/01/2024,856581006470,10083664874139,14.99,89.94,22.49,01/01/2026
101820,TEMPORARY & SPECIALTY PACKAGES,ARDBEG RDCORE GB,420,MOET HENNESSY USA,750,6,1,0,92,05/01/2022,81753835705,,62.49,374.94,93.74,01/01/2026
101834,TEMPORARY & SPECIALTY PACKAGES,MIDNIGHT MOON PEPPERMINT W/2 SHOT GLASSES,384,PIEDMONT DISTILLERS INC,750,6,1,0,80,10/01/2023,850015676369,10083664874139,11.50,69.00,17.25,01/01/2026
