item_number,item_description,category,category_name,vendor_name,bottle_volume_ml,state_bottle_cost,state_bottle_retail
951660,"STARA SOKOLOVA DUNJA",1052100,"IMPORTED BRANDIES","GRAND PRIX BEVERAGE LLC",750,19.50,29.25
15639,"JAMESON 18YR",1701100,"TEMPORARY & SPECIALTY PACKAGES","PERNOD RICARD USA",750,99.99,149.99
926519,"TEMPLETON RYE SINGLE BARREL SELECTION",1011600,"STRAIGHT RYE WHISKIES","INFINIUM SPIRITS",750,29.99,44.99
29420,"BLUE OX GIN MINI",1041100,"AMERICAN DRY GINS","JDSO INC / RED BOOT DISTILLERY",50,30.00,45.00
15934,"YELLOW SPOT",1701100,"TEMPORARY & SPECIALTY PACKAGES","PERNOD RICARD USA",750,34.98,52.47
192,"MAST-JAGERMEISTER US",97,"WOODBURY","IMPORTED CORDIALS & LIQUEURS",65256,JAGERMEISTER LIQUEUR,12
368,"PARK STREET IMPORTS",97,"WOODBURY","100% AGAVE TEQUILA",CODIGO 1530 TEQUILA ANEJO,3,750
921542,"STEEPLE RIDGE BOURBON SINGLE BARREL CASK STRENGTH",1011200,"STRAIGHT BOURBON WHISKIES","LONELY OAK DISTILLERY",750,35.00,52.50
980524,"SUGARLANDS APPALACHIAN STRAWBERRY DREAM SIPPIN CREAM",1081200,"CREAM LIQUEURS","SUGARLANDS DISTILLING COMPANY LLC",750,13.52,20.28
951674,"STARA SOKOLOVA VILJAMOVKA",1052100,"IMPORTED BRANDIES","GRAND PRIX BEVERAGE LLC",750,18.50,27.75
999931,"AMRUT BAGHEEERA SINGLE MALT WHISKY",1012300,"SINGLE MALT SCOTCH","GLASS REVOLUTION IMPORTS",750,50.00,75.00
101457,"ARDBEG SCORCH GIFT BOX",1701100,"TEMPORARY & SPECIALTY PACKAGES","MOET HENNESSY USA",750,59.99,89.99
916664,"BARREL SINGLE BARREL BOURBON",1011200,"STRAIGHT BOURBON WHISKIES","MHW LTD",750,56.67,85.01
929828,"CONNIPTION NAVY STRENGTH GIN",1041100,"AMERICAN DRY GINS","DURHAM DISTILLERY",750,23.16,34.74
946702,"PAPAS PILAR LEGACY LIMITED EDITION",1062300,"AGED DARK RUM","HEMINGWAY RUM COMPANY LLC",750,40.00,60.00
928137,"WIDOW JANE 10YR BOURBON WHISKEY",1091100,"AMERICAN DISTILLED SPIRITS SPECIALTY","PARK STREET IMPORTS",750,41.00,61.50
36356,"HEROES VODKA",1031100,"AMERICAN VODKAS","RS LIPMAN COMPANY LLC",1750,10.00,15.00
15206,"FARMSTOCK IOWA BATCH",1701100,"TEMPORARY & SPECIALTY PACKAGES","GOAMERICAGO BEVERAGES LLC / WHISTLEPIG",750,32.49,48.74
977235,"PINA COLADA MOONSHINE",1091100,"AMERICAN DISTILLED SPIRITS SPECIALTY","SUGARLANDS DISTILLING COMPANY LLC",750,13.52,20.28
978166,"DEKUYPER CREME DE COCOA",1081300,"AMERICAN CORDIALS & LIQUEURS","JIM BEAM BRANDS",750,6.50,9.75
988472,"HOOTERS GOLD TEQUIA",1022100,"MIXTO TEQUILA","UNITED SPIRITS INC",1000,12.17,18.26
84155,"99 CHERRIES MINI",1081400,"AMERICAN SCHNAPPS","SAZERAC COMPANY  INC",50,52.40,78.60
926360,"BIRD DOG SALTED CARAMEL MINI",1011100,"BLENDED WHISKIES","WESTERN SPIRITS BEVERAGE",50,5.00,7.50
46617,"BLUE CHAIR BAY LIME RUM",1062500,"FLAVORED RUM","MHW LTD",750,10.49,15.74
PREMIER DISTRIBUTORS LLC,"51158",BLACK HAWK,"1052100","589",6,750,14.50
976641,"HAYMANS OLD TOM GIN",1042000,"IMPORTED GINS","MHW LTD",750,14.75,22.13
916693,"BARRELL BOURBON BATCH 026",1011200,"STRAIGHT BOURBON WHISKIES","MHW LTD",750,48.00,72.00
997870,"4 COPAS BLANCO USDA ORGANIC AND KOSHER CERTIFIED",1022200,"100% AGAVE TEQUILA","HPSEPICUREAN LLC / PREISS IMPORTS",750,26.27,39.41
938187,"TREBOLES & KEY ORGANIC VODKA",1091200,"NEUTRAL GRAIN SPIRITS","MEISENBURG BREWING & DISTILLING",750,100.00,150.00
915620,"IRISHMAN 12YR SINGLE MALT WHISKEY",1012400,"IRISH WHISKIES","HOTALING & CO",750,48.97,73.46
900598,"KNAPPOGUE CASTLE 16YR TWIN WOOD",1012400,"IRISH WHISKIES","PARK STREET IMPORTS",750,47.50,71.25
919411,"FOUR GRAIN STRAIGHT BOURBON",1011200,"STRAIGHT BOURBON WHISKIES","GARGOYLE ENTERPRISES / LAWS WHISKEY HOUSE",750,35.00,52.50
926219,"BARRELL PRIVATE RELEASE WHISKEY",1011100,"BLENDED WHISKIES","MHW LTD",750,56.67,85.01
87483,"DON JULIO BLANCO",1022200,"100% AGAVE TEQUILA","DIAGEO AMERICAS",1750,59.99,89.99
240,"WILLIAM GRANT & SONS INC",97,"WOODBURY","SCOTCH WHISKIES",GLENFIDDICH 14YR,6,750
942162,"BLUE CHAIR BAY VANILLA RUM",1062500,"FLAVORED RUM","MHW LTD",750,10.49,15.74
965803,"MATHILDE LIQUER CASSIS BLACK CURRANT",1082100,"IMPORTED CORDIALS & LIQUEURS","W J DEUTSCH & SONS LTD",750,12.98,19.47
PHILLIPS BEVERAGE COMPANY,"41693",WORTH,"1031200","380",12,750,6.50
926357,"BARRELL SEAGRASS RYE WHISKEY",1011600,"STRAIGHT RYE WHISKIES","MHW LTD",750,46.00,69.00
916670,"BARRELL WHISKEY INFINITE BARREL PROJECT",1011100,"BLENDED WHISKIES","MHW LTD",750,34.50,51.75
936975,"CORAZON AND KEY ORGANIC VODKA",1031100,"AMERICAN VODKAS","MEISENBURG BREWING & DISTILLING",750,20.00,30.00
916687,"BARRELL BOURBON PRIVATE RELEASE",1011200,"STRAIGHT BOURBON WHISKIES","MHW LTD",750,56.67,85.01
58200,"CRAFTHOUSE COCKTAILS GOLD RUSH",1071100,"COCKTAILS/RTD","PARK STREET IMPORTS",200,2.50,3.75
58816,"PARROT BAY PINA COLADA POUCH",1071100,"AMERICAN COCKTAILS","DIAGEO AMERICAS",1750,8.24,12.36
58205,"CRAFTHOUSE COCKTAILS SOUTHSIDE",1071100,"COCKTAILS/RTD","PARK STREET IMPORTS",750,9.00,13.50
965297,"THE KINGS GINGER",1082000,"IMPORTED CORDIALS & LIQUEURS","HOTALING & CO",750,24.00,36.00
901641,"KOLOA HAWAIIAN KAUAI COFFEE RUM",1062500,"FLAVORED RUM","KOLOA RUM COMPANY",750,24.00,36.00
986453,"BARRELL ARMIDA BOURBON",1011100,"BLENDED WHISKIES","MHW LTD",750,48.00,72.00
965559,"LUXARDO AMARO ABANO",1901200,"SPECIAL ORDER ITEMS","HOTALING & CO",750,13.89,20.84
904557,"DEKUYPER SEX ON THE BEACH PET",1901200,"SPECIAL ORDER ITEMS","JIM BEAM BRANDS",750,6.50,9.75
SPIRIT IMPORTS INC,"990410",POLK,"1082100","456",12,750,17.59
943458,"DON Q LIMON",1062500,"FLAVORED RUM","SERRALLES USA",1000,9.42,14.13
65256,"JAGERMEISTER LIQUEUR",1082900,"MISC. IMPORTED CORDIALS & LIQUEURS","SIDNEY FRANK IMPORTING CO.",750,11.58,17.37
902989,"RIAZUL ANEJO TEQUILA",1901200,"SPECIAL ORDER ITEMS","PATERNO IMPORTS LTD / TERLATO WINES INTERNATIONAL",750,34.50,51.75
77218,"SOL DEL SUR TEQUILA & LIQUEUR",1022100,"MIXTO TEQUILA","JDSO INC / RED BOOT DISTILLERY",1000,5.00,7.50
GRAND PRIX BEVERAGE LLC,"49509",BLACK HAWK,"1052100","261",12,1000,18.00
89029,"AVION ANEJO",1022100,"TEQUILA","PERNOD RICARD USA/AUSTIN NICHOLS",750,28.99,43.49
987821,"HOOTERS SILVER TEQUILA",1022100,"MIXTO TEQUILA","UNITED SPIRITS INC",1000,12.17,18.26
988209,"CASA DRAGONES ANEJO",1022200,"100% AGAVE TEQUILA","MHW LTD",750,75.00,112.50
101522,"SANTO REPOSADO W/HANDPAINTED SALSA BOWL",1701100,"TEMPORARY & SPECIALTY PACKAGES","SHAW-ROSS INTERNATIONAL",3,750,23.00
"WORLDWIDE LIBATIONS," LLC",POLK,"1082100","557",THE BITTER TRUTH ELDERFLOWER LIQUEUR,6,750
21212,"REBEL 10YR SINGLE BARREL",1701100,"TEMPORARY & SPECIALTY PACKAGES","LUXCO INC",750,40.00,60.00
915743,"KNAPPOGUE CASTLE 21YR",1012400,"IRISH WHISKIES","PARK STREET IMPORTS",750,120.02,180.03
928126,"BLOOM GIN",1042100,"IMPORTED DRY GINS","MHW LTD",750,17.50,26.25
16988,"BOURBON SUPREME BOURBON",1011200,"STRAIGHT BOURBON WHISKIES","LUXCO INC",1750,10.00,15.00
974832,"J. RIEGER & CO. CAFFE AMARO",1081100,"COFFEE LIQUEURS","JACOB RIEGER & COMPANY LLC",750,15.50,23.25
926802,"REDEMPTION RYE 10YR BARREL PROOF",1011600,"STRAIGHT RYE WHISKIES","W J DEUTSCH & SONS LTD",750,49.83,74.75
933651,"GREEN MARK VODKA",1032100,"IMPORTED VODKAS","RUSSIAN STANDARD VODKA",750,6.59,9.89
915934,"HA YELLOW SPOT",1012400,"IRISH WHISKIES","PERNOD RICARD USA",750,59.97,89.96
22056,"WHEEL HORSE BOURBON",1011200,"STRAIGHT BOURBON WHISKIES","LATITUDE BEVERAGE COMPANY",750,17.77,26.66
900793,"HA WHISTLEPIG 18YR DOUBLE MALT WHISKEY",1011100,"BLENDED WHISKIES","GOAMERICAGO BEVERAGES LLC / WHISTLEPIG",750,200.00,300.00
88459,"ESPOLON REPOSADO",1022200,"100% AGAVE TEQUILA","CAMPARI AMERICA",375,9.00,13.50
30526,"HAWKEYE GIN",1041100,"AMERICAN DRY GINS","LUXCO INC",750,3.44,5.16
988263,"GRAN CAVA DE ORO EXTRA ANEJO",1022200,"100% AGAVE TEQUILA","STOLLER IMPORTS INC / MARSALLE COMPANY",750,50.00,75.00
76497,"KRAKEN GOLD SPICED RUM",1062100,"GOLD RUM","PROXIMO",750,11.00,16.50
928655,"MALFY ROSA GRAPEFRUIT FLAVORED GIN",1041200,"FLAVORED GIN","PERNOD RICARD USA",750,13.99,20.99
915848,"HA RED SPOT",1012400,"IRISH WHISKIES","PERNOD RICARD USA",750,69.96,104.94
915592,"DUBLINER IRISH WHISKEY",1012400,"IRISH WHISKIES","MHW LTD",750,15.00,22.50
26123,"KYODIE RAVIN APPLE WHISKEY",1091100,"AMERICAN DISTILLED SPIRITS SPECIALTY","JDSO INC / RED BOOT DISTILLERY",750,13.00,19.50
928193,"THE BURNING CHAIR BOURBON",1011100,"BLENDED WHISKIES","SAVAGE & COOKE / SANTA CROCE LLC",750,36.00,54.00
977332,"SUGARLANDS SHINE BUTTERSCOTCH GOLD",1091100,"AMERICAN DISTILLED SPIRITS SPECIALTY","SUGARLANDS DISTILLING COMPANY LLC",750,13.52,20.28
988827,"HA AVION EXTRA ANEJO",1022200,"100% AGAVE TEQUILA","PERNOD RICARD USA",750,67.46,101.19
942779,"RON ZACAPA XO",1901200,"SPECIAL ORDER ITEMS","DIAGEO AMERICAS",750,54.99,82.49
15852,"ROE & CO",1012400,"IRISH WHISKIES","DIAGEO AMERICAS",750,16.49,24.74
932344,"ST GEORGE DRY RYE REPOSADO GIN",1091100,"AMERICAN DISTILLED SPIRITS SPECIALTY","ST GEORGE SPIRITS INC",750,22.50,33.75
"BACARDI U.S.A.," INC.",MUSCATINE,"1071100","35",BACARDI PARTY DRINKS ZOMBIE,6,1750
994965,"HA GLENDRONACH PARLIAMENT 21YR",1012300,"SINGLE MALT SCOTCH","BROWN FORMAN CORP.",750,149.99,224.99
18358,"FOUR ROSES SINGLE BARREL - PRIVATE SELECTION-BARREL STRENGTH",1701100,"TEMPORARY & SPECIALTY PACKAGES","FOUR ROSES DISTILLERY",750,40.00,60.00
48255,"HENNESSY VS 12 1L UPGRADE",1052100,"IMPORTED BRANDIES","MOET HENNESSY USA",1000,27.49,41.24
917192,"CALUMET FARM 15 YEAR OLD BOURBON",1011500,"BOTTLED IN BOND BOURBON","WESTERN SPIRITS BEVERAGE",750,64.92,97.38
928694,"MARTIN MILLERS WESTBOURNE STRENGTH GIN",1041200,"FLAVORED GIN","PARK STREET IMPORTS",750,20.51,30.77
915635,"HA GREEN SPOT CHATEAU MONTELENA",1012400,"IRISH WHISKIES","PERNOD RICARD USA",750,35.98,53.97
LATITUDE BEVERAGE COMPANY,"26503",CLINTON,"1011600","768",6,750,17.77
926610,"WILDERNESS TRAIL SETTLERS SELECT",1011600,"STRAIGHT RYE WHISKIES","WILDERNESS TRAIL DISTILLERY",750,30.00,45.00
928650,"MALFY CON LIMONE GIN",1041200,"FLAVORED GIN","PERNOD RICARD USA",750,13.99,20.99
73729,"EVAN WILLIAMS KENTUCKY CIDER",1700000,"TEMPORARY & SPECIALTY PACKAGES","HEAVEN HILL BRANDS",750,5.00,7.50
964424,"BLOOM JASMINE & ROSE GIN",1041200,"FLAVORED GIN","MHW LTD",750,15.84,23.76
80136,"E & J CASK & CREAM",1081200,"CREAM LIQUEURS","E AND J GALLO WINERY",750,5.50,8.25
969712,"DR MCGILLICUDDYS WILD GRAPE",1901200,"SPECIAL ORDER ITEMS","SAZERAC COMPANY  INC",1000,11.00,16.50
928653,"MALFY GIN ORIGINALE",1042100,"IMPORTED DRY GINS","PERNOD RICARD USA",750,13.99,20.99
988253,"LA ADELITA REPOSADO TEQUILA",1022200,"100% AGAVE TEQUILA","PARK STREET IMPORTS",750,25.00,37.50
28601,"GLENDALOUGH WILD BOTANICAL GIN",1042100,"IMPORTED DRY GINS","MHW LTD",750,15.00,22.50
88285,"PATRON SILVER 100ML",1022200,"100% AGAVE TEQUILA","BACARDI USA INC",100,5.82,8.73
987132,"TEQUILA KOMOS EXTRA ANEJO",1022200,"100% AGAVE TEQUILA","MHW LTD",750,205.12,307.68
986201,"PUNCHERS CHANCE THE D12TANCE 12YR",1011200,"STRAIGHT BOURBON WHISKIES","MHW LTD",750,61.67,92.51
"TRAVERSE CITY WHISKEY CO / TCWC," LLC",POLK,"1011200","428",TRAVERSE CITY WHISKEY CO. AMERICAN CHERRY EDITION,6,750
37413,"POPOV VODKA 80 PRF",1031080,"VODKA 80 PROOF","DIAGEO AMERICAS",200,1.75,2.63
997156,"HA AVION CRISTALINO",1022200,"100% AGAVE TEQUILA","PERNOD RICARD USA",750,74.96,112.44
926467,"COURAGE & CONVICTION BOURBON CASK",1011100,"BLENDED WHISKIES","PARK STREET IMPORTS",750,39.17,58.76
926469,"COURAGE & CONVICTION SHERRY CASK",1011100,"BLENDED WHISKIES","PARK STREET IMPORTS",750,39.17,58.76
995096,"OLD PARR",1012200,"SCOTCH WHISKIES","DIAGEO AMERICAS",750,19.99,29.99
978081,"ST GEORGE CALIFORNIA SHOCHU",1091100,"AMERICAN DISTILLED SPIRITS SPECIALTY","ST GEORGE SPIRITS INC",750,20.00,30.00
87849,"HERRADURA SLIVER",1022200,"100% AGAVE TEQUILA","BROWN FORMAN CORP.",750,26.50,39.75
643,"JOSE CUERVO ESPECIAL SILVER W/1L CLASSIC MARGARITA MIX",1701100,"TEMPORARY & SPECIALTY PACKAGES","PROXIMO",750,11.07,16.61
973067,"CHAREAU ALOE LIQUEUR",1081300,"AMERICAN CORDIALS & LIQUEURS","PARK STREET IMPORTS",750,23.00,34.50
HAWAII SEA SPIRITS LLC,"37040",WOODBURY,"1031100","273",6,750,13.33
