item_number,item_description,category,category_name,vendor_name,bottle_volume_ml,state_bottle_cost,state_bottle_retail
65013,"FIREBALL CINNAMON WHISKEY MINI SLEEVE",1081600,"WHISKEY LIQUEUR","SAZERAC COMPANY  INC",50,4.30,6.45
21598,"TEN HIGH",1011200,"STRAIGHT BOURBON WHISKIES","SAZERAC COMPANY  INC",1750,9.24,13.86
16096,"EVAN WILLIAMS BOTTLED IN BOND",1011500,"BOTTLED IN BOND BOURBON","HEAVEN HILL BRANDS",750,10.00,15.00
36306,"HAWKEYE VODKA",1031100,"AMERICAN VODKAS","LUXCO INC",750,3.34,5.01
29994,"FIVE O'CLOCK GIN",1041100,"AMERICAN DRY GINS","LAIRD & COMPANY",375,1.99,2.99
21597,"TEN HIGH",1011200,"STRAIGHT BOURBON WHISKIES","SAZERAC COMPANY  INC",1000,4.94,7.41
48106,"HENNESSY VS",1052100,"IMPORTED BRANDIES","MOET HENNESSY USA",750,20.99,31.49
38178,"TITOS HANDMADE VODKA",1031100,"AMERICAN VODKAS","FIFTH GENERATION INC",1750,19.00,28.50
36965,"NEW AMSTERDAM 80PRF MINI",1031100,"AMERICAN VODKAS","E & J GALLO WINERY",50,5.54,8.31
30318,"GORDONS GIN LONDON DRY PET",1041100,"AMERICAN DRY GINS","DIAGEO AMERICAS",1750,11.00,16.50
26820,"JACK DANIELS OLD #7 BLACK LABEL FLAT",1011400,"TENNESSEE WHISKIES","BROWN FORMAN CORP.",375,7.50,11.25
84230,"99 BRAND MYSTERY FLAVOR PET MINI",1081300,"AMERICAN CORDIALS & LIQUEURS","SAZERAC COMPANY  INC",50,51.60,77.40
86455,"BLACK VELVET APPLE",1012100,"CANADIAN WHISKIES","HEAVEN HILL BRANDS",750,5.23,7.85
45248,"PARAMOUNT GOLD RUM",1062100,"GOLD RUM","LUXCO INC",1750,7.50,11.25
87510,"1800 SILVER",1022200,"100% AGAVE TEQUILA","PROXIMO",750,15.98,23.97
39555,"DEEP EDDY LEMON MINI",1031100,"AMERICAN VODKAS","HEAVEN HILL BRANDS",50,4.21,6.32
86916,"SOUTHERN COMFORT 100PRF",1081600,"WHISKEY LIQUEUR","SAZERAC COMPANY  INC",750,12.15,18.23
43334,"CAPTAIN MORGAN ORIGINAL SPICED",1062400,"SPICED RUM","DIAGEO AMERICAS",375,5.00,7.50
5040,"GLENLIVET 18YR",1012300,"SINGLE MALT SCOTCH","PERNOD RICARD USA",750,64.96,97.44
27102,"TEMPLETON RYE 4YR",1011600,"STRAIGHT RYE WHISKIES","INFINIUM SPIRITS",750,18.09,27.14
36873,"BLUE OX VODKA",1031100,"AMERICAN VODKAS","JDSO INC / RED BOOT DISTILLERY",750,3.41,5.12
87035,"SKREWBALL PEANUT BUTTER WHISKEY MINI",1011100,"BLENDED WHISKIES","INFINIUM SPIRITS",50,14.00,21.00
86739,"OLE SMOKY APPLE PIE MOONSHINE 70PRF MINI",1091300,"NEUTRAL GRAIN SPIRITS FLAVORED","OLE SMOKY DISTILLERY LLC",50,8.75,13.13
40593,"NEW AMSTERDAM PEACH",1031200,"AMERICAN FLAVORED VODKA","E & J GALLO WINERY",375,3.50,5.25
37994,"SMIRNOFF 80PRF",1031100,"AMERICAN VODKAS","DIAGEO AMERICAS",375,4.75,7.13
38176,"TITOS HANDMADE VODKA",1031100,"AMERICAN VODKAS","FIFTH GENERATION INC",750,10.00,15.00
11773,"BLACK VELVET",1012100,"CANADIAN WHISKIES","HEAVEN HILL BRANDS",200,1.56,2.34
14523,"REVEL STOKE SON OF A PEACH",1012100,"CANADIAN WHISKIES","PHILLIPS BEVERAGE",750,9.02,13.53
PROXIMO,"58838",JONES,"1071100","395",6,1750,8.74
43028,"ADMIRAL NELSON SPICED",1062400,"SPICED RUM","HEAVEN HILL BRANDS",1750,11.55,17.33
38006,"SMIRNOFF 80PRF PET",1031100,"AMERICAN VODKAS","DIAGEO AMERICAS",750,8.25,12.38
37888,"SEAGRAMS EXTRA SMOOTH VODKA",1031100,"AMERICAN VODKAS","INFINIUM SPIRITS",1750,10.00,15.00
34004,"ABSOLUT SWEDISH VODKA 80PRF",1032100,"IMPORTED VODKAS","PERNOD RICARD USA",375,4.99,7.49
64904,"FIREBALL CINNAMON WHISKEY PET",1081600,"WHISKEY LIQUEUR","SAZERAC COMPANY  INC",1750,15.33,23.00
82606,"DEKUYPER SOUR APPLE PUCKER",1081400,"AMERICAN SCHNAPPS","JIM BEAM BRANDS",750,6.50,9.75
49086,"REMY MARTIN 1738 ACCORD ROYAL",1052100,"IMPORTED BRANDIES","REMY COINTREAU USA INC",750,29.98,44.97
36969,"NEW AMSTERDAM 80PRF",1031100,"AMERICAN VODKAS","E & J GALLO WINERY",750,7.50,11.25
77683,"SMIRNOFF KISSED CARAMEL",1031200,"AMERICAN FLAVORED VODKA","DIAGEO AMERICAS",750,8.25,12.38
38174,"TITOS HANDMADE VODKA",1031100,"AMERICAN VODKAS","FIFTH GENERATION INC",375,5.42,8.13
17086,"BULLEIT BOURBON",1011200,"STRAIGHT BOURBON WHISKIES","DIAGEO AMERICAS",750,16.50,24.75
39492,"NEW AMSTERDAM PINK WHITNEY",1031200,"AMERICAN FLAVORED VODKA","E & J GALLO WINERY",750,7.50,11.25
84393,"99 WATERMELON PET MINI",1081300,"AMERICAN CORDIALS & LIQUEURS","SAZERAC COMPANY  INC",50,51.60,77.40
64512,"CIROC APPLE",1032200,"IMPORTED FLAVORED VODKA","DIAGEO AMERICAS",750,16.49,24.74
77637,"SMIRNOFF CHERRY",1031200,"AMERICAN FLAVORED VODKA","DIAGEO AMERICAS",750,8.25,12.38
37993,"SMIRNOFF 80PRF",1031100,"AMERICAN VODKAS","DIAGEO AMERICAS",200,2.54,3.81
87408,"JOSE CUERVO ESPECIAL SILVER",1022100,"MIXTO TEQUILA","PROXIMO",750,11.07,16.61
86881,"SOUTHERN COMFORT MINI",1081600,"WHISKEY LIQUEUR","SAZERAC COMPANY  INC",50,5.16,7.74
64868,"FIREBALL CINNAMON WHISKEY",1081600,"WHISKEY LIQUEUR","SAZERAC COMPANY  INC",1750,15.33,23.00
73755,"E & J APPLE",1051100,"AMERICAN BRANDIES","E & J GALLO WINERY",750,6.00,9.00
10550,"BLACK VELVET TOASTED CARAMEL",1012100,"CANADIAN WHISKIES","HEAVEN HILL BRANDS",750,5.23,7.85
39839,"WESTERN SON PRICKLY PEAR",1031200,"AMERICAN FLAVORED VODKA","JEM BEVERAGE COMPANY",750,9.01,13.52
73055,"RUMCHATA",1081200,"CREAM LIQUEURS","E & J GALLO WINERY",750,13.50,20.25
75210,"KINKY PINK",1081300,"AMERICAN CORDIALS & LIQUEURS","PRESTIGE WINE & SPIRITS GROUP / UNITED STATES DISTILLED PRODUCTS CO",750,10.00,15.00
36308,"HAWKEYE VODKA",1031100,"AMERICAN VODKAS","LUXCO INC",1750,7.17,10.76
27189,"BASIL HAYDEN DARK RYE",1011600,"STRAIGHT RYE WHISKIES","JIM BEAM BRANDS",750,23.62,35.43
40053,"DEEP EDDY LEMON",1031200,"AMERICAN FLAVORED VODKA","HEAVEN HILL BRANDS",750,8.50,12.75
11774,"BLACK VELVET",1012100,"CANADIAN WHISKIES","HEAVEN HILL BRANDS",375,3.07,4.61
HEAVEN HILL BRANDS,"2229",SIOUX,"1701100","259",12,750,4.50
35318,"BARTON VODKA",1031100,"AMERICAN VODKAS","SAZERAC COMPANY  INC",1750,6.92,10.38
52806,"KORBEL BRANDY",1051100,"AMERICAN BRANDIES","BROWN FORMAN CORP.",750,6.66,9.99
40329,"DEEP EDDY RUBY RED GRAPEFRUIT",1031200,"AMERICAN FLAVORED VODKA","HEAVEN HILL BRANDS",1750,14.50,21.75
46350,"HAWKEYE LIGHT RUM",1062200,"WHITE RUM","LUXCO INC",1750,7.67,11.51
84207,"99 ROOT BEER MINI",1081400,"AMERICAN SCHNAPPS","SAZERAC COMPANY  INC",50,5.16,7.74
36304,"HAWKEYE VODKA",1031100,"AMERICAN VODKAS","LUXCO INC",375,1.86,2.79
36908,"MCCORMICK 80PRF VODKA PET",1031100,"AMERICAN VODKAS","MCCORMICK DISTILLING CO.",1750,7.47,11.21
64870,"FIREBALL CINNAMON WHISKEY",1081600,"WHISKEY LIQUEUR","SAZERAC COMPANY  INC",100,0.90,1.35
46140,"CALIBER SILVER RUM",1062200,"WHITE RUM","SAZERAC COMPANY  INC",750,4.00,6.00
43848,"RONRICO SILVER LABEL RUM",1062500,"FLAVORED RUM","JIM BEAM BRANDS",1750,7.50,11.25
13038,"CANADIAN RESERVE WHISKY",1012100,"CANADIAN WHISKIES","LUXCO INC",1750,8.75,13.13
36875,"BLUE OX VODKA",1031100,"AMERICAN VODKAS","JDSO INC / RED BOOT DISTILLERY",1750,7.28,10.92
43747,"BACARDI LIME",1062500,"FLAVORED RUM","BACARDI USA INC",750,8.25,12.38
25606,"SEAGRAMS 7 CROWN",1011100,"BLENDED WHISKIES","DIAGEO AMERICAS",750,7.50,11.25
44557,"CRUZAN STRAWBERRY",1062500,"FLAVORED RUM","JIM BEAM BRANDS",750,7.00,10.50
10807,"CROWN ROYAL REGAL APPLE",1012100,"CANADIAN WHISKIES","DIAGEO AMERICAS",750,16.59,24.89
36967,"NEW AMSTERDAM 80PRF",1031100,"AMERICAN VODKAS","E & J GALLO WINERY",200,1.99,2.99
64601,"CARAVELLA LIMONCELLO",1082000,"IMPORTED CORDIALS & LIQUEURS","SAZERAC COMPANY  INC",750,11.25,16.88
47785,"COURVOISIER VS COGNAC",1052100,"IMPORTED BRANDIES","JIM BEAM BRANDS",375,9.50,14.25
20246,"OLD CROW",1011200,"STRAIGHT BOURBON WHISKIES","JIM BEAM BRANDS",750,5.50,8.25
57120,"CHI-CHI'S LONG ISLAND ICED TEA",1071100,"COCKTAILS/RTD","SAZERAC COMPANY  INC",1750,5.75,8.63
69940,"RUMPLE MINZE PEPPERMINT SCHNAPPS LIQUEUR MINI",1082200,"IMPORTED SCHNAPPS","DIAGEO AMERICAS",50,13.50,20.25
DIAGEO AMERICAS,"11296",BENTON,"1012100","260",12,750,16.59
64864,"FIREBALL CINNAMON WHISKEY",1081600,"WHISKEY LIQUEUR","SAZERAC COMPANY  INC",375,5.33,8.00
19067,"JIM BEAM",1011200,"STRAIGHT BOURBON WHISKIES","JIM BEAM BRANDS",1000,13.00,19.50
76486,"PARAMOUNT AMARETTO",1081300,"AMERICAN CORDIALS & LIQUEURS","LUXCO INC",750,3.50,5.25
43121,"BACARDI SUPERIOR MINI",1062200,"WHITE RUM","BACARDI USA INC",50,5.54,8.31
37935,"SKOL VODKA PET",1031100,"AMERICAN VODKAS","SAZERAC COMPANY  INC",750,3.64,5.46
100413,"FIREBALL CINNAMON WHISKEY PARTY BUCKET",1081600,"WHISKEY LIQUEUR","SAZERAC COMPANY  INC",50,51.60,77.40
43027,"ADMIRAL NELSON SPICED",1062400,"SPICED RUM","HEAVEN HILL BRANDS",1000,7.50,11.25
50686,"ST REMY VSOP NAPOLEON BRANDY",1052100,"IMPORTED BRANDIES","REMY COINTREAU USA INC",750,7.24,10.86
82849,"DEKUYPER LUSCIOUS PEACHTREE PET",1081400,"AMERICAN SCHNAPPS","JIM BEAM BRANDS",1750,11.54,17.31
JIM BEAM BRANDS,"27544",BLACK HAWK,"1011100","065",12,750,11.00
86456,"BLACK VELVET APPLE",1012100,"CANADIAN WHISKIES","HEAVEN HILL BRANDS",1750,10.45,15.68
62420,"MARGARITAVILLE SKINNY MARGARITA",1071100,"COCKTAILS/RTD","SAZERAC COMPANY  INC",1750,5.25,7.88
21589,"EH TAYLOR JR SINGLE BARREL",1011300,"SINGLE BARREL BOURBON WHISKIES","SAZERAC COMPANY  INC",750,33.34,50.01
15627,"JAMESON",1012400,"IRISH WHISKIES","PERNOD RICARD USA",1000,19.48,29.22
80577,"ARROW PEPPERMINT SCHNAPPS",1081400,"AMERICAN SCHNAPPS","LUXCO INC",1000,4.00,6.00
84172,"99 BANANAS MINI",1081400,"AMERICAN SCHNAPPS","SAZERAC COMPANY  INC",50,5.16,7.74
915177,"HA WHISTLEPIG BOSS HOG VIII LAPULAPUS PACIFIC",1011600,"STRAIGHT RYE WHISKIES","GOAMERICAGO BEVERAGES LLC / WHISTLEPIG",750,250.00,375.00
11296,"CROWN ROYAL",1012100,"CANADIAN WHISKIES","DIAGEO AMERICAS",750,16.59,24.89
22156,"WILD TURKEY 101",1011200,"STRAIGHT BOURBON WHISKIES","CAMPARI AMERICA",750,14.00,21.00
54436,"MR BOSTON APRICOT BRANDY",1051100,"AMERICAN BRANDIES","SAZERAC COMPANY  INC",750,4.50,6.75
14518,"REVEL STOKE PEANUT BUTTER WHISKY MINI",1012100,"CANADIAN WHISKIES","PHILLIPS BEVERAGE",50,4.60,6.90
 INC","65257",1082000,"IMPORTED CORDIALS & LIQUEURS","MAST-JAGERMEISTER US",12,1000,16.50
21181,"RABBIT HOLE CAVEHILL",1011200,"STRAIGHT BOURBON WHISKIES","PERNOD RICARD USA",750,29.98,44.97
77852,"SMIRNOFF WATERMELON",1031200,"AMERICAN FLAVORED VODKA","DIAGEO AMERICAS",750,8.25,12.38
34881,"STOLICHNAYA VANIL",1032200,"IMPORTED FLAVORED VODKA","STOLI GROUP",1000,15.97,23.96
58747,"CODY ROAD MANHATTAN",1071100,"COCKTAILS/RTD","MISSISSIPPI RIVER DISTIL",750,16.00,24.00
41299,"BURNETTS CHERRY",1031200,"AMERICAN FLAVORED VODKA","HEAVEN HILL BRANDS",750,4.50,6.75
84197,"99 PINEAPPLE MINI",1081300,"AMERICAN CORDIALS & LIQUEURS","SAZERAC COMPANY  INC",50,5.16,7.74
18352,"FOUR ROSES BOURBON",1011200,"STRAIGHT BOURBON WHISKIES","FOUR ROSES DISTILLERY",750,12.50,18.75
63530,"SALVADORS ORIGINAL MARGARITA PET",1071100,"COCKTAILS/RTD","LUXCO INC",1750,6.00,9.00
89196,"JOSE CUERVO ESPECIAL REPOSADO",1022100,"MIXTO TEQUILA","PROXIMO",750,11.07,16.61
53214,"PAUL MASSON GRANDE AMBER BRANDY VS",1051100,"AMERICAN BRANDIES","SAZERAC COMPANY  INC",375,3.22,4.83
36903,"MCCORMICK 80PRF VODKA",1031100,"AMERICAN VODKAS","MCCORMICK DISTILLING CO.",200,1.13,1.70
47863,"D'USSE VSOP",1082000,"IMPORTED CORDIALS & LIQUEURS","BACARDI USA INC",375,16.34,24.51
87026,"SKREWBALL PEANUT BUTTER WHISKEY",1011100,"BLENDED WHISKIES","INFINIUM SPIRITS",750,18.50,27.75
87619,"ESPOLON BLANCO",1022200,"100% AGAVE TEQUILA","CAMPARI AMERICA",750,15.00,22.50
77786,"TUACA PERFECT CHILL",1082000,"IMPORTED CORDIALS & LIQUEURS","SAZERAC COMPANY  INC",750,11.44,17.16
19063,"JIM BEAM",1011200,"STRAIGHT BOURBON WHISKIES","JIM BEAM BRANDS",200,3.63,5.45
77632,"SMIRNOFF BLUEBERRY",1031200,"AMERICAN FLAVORED VODKA","DIAGEO AMERICAS",750,8.25,12.38
43331,"CAPTAIN MORGAN ORIGINAL SPICED MINI",1062400,"SPICED RUM","DIAGEO AMERICAS",50,4.80,7.20
928693,"SOOH MONKEY 47",1042100,"IMPORTED DRY GINS","PERNOD RICARD USA",1000,31.99,47.99
84223,"99 BRAND FRUIT PUNCH PET MINI",1081300,"AMERICAN CORDIALS & LIQUEURS","SAZERAC COMPANY  INC",50,51.60,77.40
43337,"CAPTAIN MORGAN ORIGINAL SPICED",1062400,"SPICED RUM","DIAGEO AMERICAS",1000,11.75,17.63
26823,"JACK DANIELS OLD #7 BLACK LABEL",1011400,"TENNESSEE WHISKIES","BROWN FORMAN CORP.",200,4.23,6.35
35926,"FIVE O'CLOCK VODKA PET",1031100,"AMERICAN VODKAS","LAIRD & COMPANY",750,3.37,5.06
69637,"DR MCGILLICUDDYS CHERRY",1082200,"IMPORTED SCHNAPPS","SAZERAC COMPANY  INC",1000,11.00,16.50
100862,"99 BRAND CANDY CANES",1700000,"TEMPORARY & SPECIALTY PACKAGES","SAZERAC COMPANY  INC",50,51.60,77.40
75183,"KETEL ONE BOTANICAL PEACH & ORANGE BLOSSOM",1032200,"IMPORTED FLAVORED VODKA","DIAGEO AMERICAS",750,11.33,17.00
37336,"UV VODKA",1031100,"AMERICAN VODKAS","PHILLIPS BEVERAGE",750,7.00,10.50
84222,"99 BLUE RASPBERRIES MINI",1081400,"AMERICAN SCHNAPPS","SAZERAC COMPANY  INC",50,5.16,7.74
926215,"SOOH BALCONES SINGLE MALT LINEAGE",1011700,"CORN WHISKIES","DAVOS BRANDS LLC",750,20.00,30.00
19066,"JIM BEAM",1011200,"STRAIGHT BOURBON WHISKIES","JIM BEAM BRANDS",750,11.00,16.50
88570,"TRES GENERACIONES REPOSADO",1022200,"100% AGAVE TEQUILA","JIM BEAM BRANDS",750,20.00,30.00
17956,"EVAN WILLIAMS BLACK",1011200,"STRAIGHT BOURBON WHISKIES","HEAVEN HILL BRANDS",750,8.00,12.00
101473,"99 BRAND VARIETY PARTY YARD PACK MINI",1701100,"TEMPORARY & SPECIALTY PACKAGES","SAZERAC COMPANY  INC",50,51.60,77.40
35699,"PEARL CUCUMBER",1031200,"AMERICAN FLAVORED VODKA","LUXCO INC",750,7.00,10.50
88296,"PATRON SILVER",1022200,"100% AGAVE TEQUILA","BACARDI USA INC",750,28.00,42.00
15982,"TOKI SUNTORY JAPANESE WHISKY",1011100,"BLENDED WHISKIES","JIM BEAM BRANDS",750,20.99,31.49
5924,"GLENLIVET CARIBBEAN RESERVE",1012300,"SINGLE MALT SCOTCH","PERNOD RICARD USA",750,20.99,31.49
43244,"CAPTAIN MORGAN 100PRF SPICED RUM",1062400,"SPICED RUM","DIAGEO AMERICAS",750,10.49,15.74
5842,"GLENLIVET 14YR",1012300,"SINGLE MALT SCOTCH","PERNOD RICARD USA",750,27.48,41.22
35317,"BARTON VODKA",1031100,"AMERICAN VODKAS","SAZERAC NORTH AMERICA",1000,3.97,5.96
19064,"JIM BEAM",1011200,"STRAIGHT BOURBON WHISKIES","JIM BEAM BRANDS",375,5.60,8.40
4610,"BUCHANAN RED SEAL",1012200,"SCOTCH WHISKIES","DIAGEO AMERICAS",750,84.50,126.75
35913,"FIVE O'CLOCK VODKA",1031100,"AMERICAN VODKAS","LAIRD & COMPANY",200,1.13,1.70
101163,"RUMCHATA W/ 100ML LEMON & PEPPERMINT BARK",1701100,"TEMPORARY & SPECIALTY PACKAGES","E & J GALLO WINERY",950,13.50,20.25
10803,"CROWN ROYAL REGAL APPLE MINI",1012100,"CANADIAN WHISKIES","DIAGEO AMERICAS",50,7.35,11.03
48122,"HENNESSY XO",1052100,"IMPORTED BRANDIES","MOET HENNESSY USA",750,99.99,149.99
52582,"E & J VSOP",1051100,"AMERICAN BRANDIES","E & J GALLO WINERY",750,7.24,10.86
77847,"SMIRNOFF VANILLA",1031200,"AMERICAN FLAVORED VODKA","DIAGEO AMERICAS",750,8.25,12.38
31656,"PARAMOUNT GIN",1041100,"AMERICAN DRY GINS","LUXCO INC",750,3.40,5.10
16906,"BOOKERS BOURBON",1701100,"TEMPORARY & SPECIALTY PACKAGES","JIM BEAM BRANDS",750,42.50,63.75
15626,"JAMESON",1012400,"IRISH WHISKIES","PERNOD RICARD USA",750,16.49,24.74
34578,"PINNACLE",1031100,"AMERICAN VODKAS","JIM BEAM BRANDS",1750,10.00,15.00
38008,"SMIRNOFF 80PRF PET",1031100,"AMERICAN VODKAS","DIAGEO AMERICAS",1750,14.75,22.13
5486,"MACALLAN 12YR",1012300,"SINGLE MALT SCOTCH","EDRINGTON GROUP USA LLC",750,40.01,60.02
41848,"EVERCLEAR 151",1091200,"NEUTRAL GRAIN SPIRITS","LUXCO INC",1750,17.50,26.25
PERNOD RICARD USA,"15626",JOHNSON,"1012400","370",12,750,16.49
25177,"CEDAR RIDGE BOTTLED IN BOND RYE WHISKEY",1701100,"TEMPORARY & SPECIALTY PACKAGES","CEDAR RIDGE VINEYARDS LL",750,25.00,37.50
72971,"NORTH FOREST KREME PEPPERMINT",1701100,"TEMPORARY & SPECIALTY PACKAGES","BEDFORD & GROVE LLC/ CHANKASKA CREEK AND RANCH WINERY",750,15.39,23.09
36301,"HAWKEYE VODKA MINI",1031100,"AMERICAN VODKAS","LUXCO INC",50,4.13,6.20
28279,"JIM BEAM PEACH",1011200,"STRAIGHT BOURBON WHISKIES","JIM BEAM BRANDS",750,11.00,16.50
49186,"REMY MARTIN VSOP",1052100,"IMPORTED BRANDIES","REMY COINTREAU USA INC",750,24.98,37.47
34820,"SVEDKA 80PRF",1032100,"IMPORTED VODKAS","CONSTELLATION BRANDS INC",750,8.00,12.00
5036,"GLENLIVET 12YR",1012300,"SINGLE MALT SCOTCH","PERNOD RICARD USA",750,25.98,38.97
11788,"BLACK VELVET",1012100,"CANADIAN WHISKIES","HEAVEN HILL BRANDS",1750,10.45,15.68
SAZERAC COMPANY  INC,"64865",IOWA,"1081600","421",12,750,8.98
82605,"DEKUYPER SOUR APPLE PUCKER PET",1081400,"AMERICAN SCHNAPPS","JIM BEAM BRANDS",750,6.50,9.75
89197,"JOSE CUERVO ESPECIAL REPOSADO",1022100,"MIXTO TEQUILA","PROXIMO",1000,13.50,20.25
64009,"ABSOLUT JUICE EDITION APPLE",1032200,"IMPORTED FLAVORED VODKA","PERNOD RICARD USA",750,9.99,14.99
58872,"JOSE CUERVO AUTHENTIC LIGHT LIME MARGARITA",1071100,"COCKTAILS/RTD","PROXIMO",1750,8.74,13.11
36871,"CIROC 80PRF",1032100,"IMPORTED VODKAS","DIAGEO AMERICAS",750,16.49,24.74
43109,"BACARDI BLACK",1062300,"AGED DARK RUM","BACARDI USA INC",750,8.25,12.38
36968,"NEW AMSTERDAM 80PRF",1031100,"AMERICAN VODKAS","E & J GALLO WINERY",375,3.50,5.25
68340,"FIVE FARMS IRISH CREAM LIQUEUR",1081200,"CREAM LIQUEURS","MCCORMICK DISTILLING CO.",750,18.00,27.00
37997,"SMIRNOFF 80PRF",1031100,"AMERICAN VODKAS","DIAGEO AMERICAS",1000,9.25,13.88
INFINIUM SPIRITS,"89242",POLK,"1022200","255",6,750,16.00
81124,"99 PEPPERMINT MINI",1081400,"AMERICAN SCHNAPPS","SAZERAC COMPANY  INC",50,5.16,7.74
15248,"WINDSOR CANADIAN PET",1012100,"CANADIAN WHISKIES","PRESTIGE WINE & SPIRITS GROUP / UNITED STATES DISTILLED PRODUCTS CO",1750,9.50,14.25
43333,"CAPTAIN MORGAN ORIGINAL SPICED PET",1062400,"SPICED RUM","DIAGEO AMERICAS",200,2.75,4.13
11586,"BLACK VELVET RESERVE",1012100,"CANADIAN WHISKIES","HEAVEN HILL BRANDS",750,7.00,10.50
86880,"OLE SMOKY MOONSHINE CHOCOLATE CHERRIES",1701100,"TEMPORARY & SPECIALTY PACKAGES","OLE SMOKY DISTILLERY LLC",750,12.50,18.75
E & J GALLO WINERY,"73051",DES MOINES,"1081200","205",12,50,8.87
64858,"FIREBALL CINNAMON WHISKEY MINI DISPENSER",1081600,"WHISKEY LIQUEUR","SAZERAC COMPANY  INC",50,25.80,38.70
4626,"BUCHANAN DELUXE 12YR",1012200,"SCOTCH WHISKIES","DIAGEO AMERICAS",750,20.99,31.49
27544,"RED STAG BLACK CHERRY",1011100,"BLENDED WHISKIES","JIM BEAM BRANDS",750,11.00,16.50
77774,"WILD TURKEY AMERICAN HONEY",1081300,"AMERICAN CORDIALS & LIQUEURS","CAMPARI AMERICA",1000,13.82,20.73
58860,"JOSE CUERVO AUTHENTIC MANGO MARGARITA",1071100,"COCKTAILS/RTD","PROXIMO",1750,8.74,13.11
66836,"ST GERMAIN",1082000,"IMPORTED CORDIALS & LIQUEURS","BACARDI USA INC",750,20.00,30.00
26821,"JACK DANIELS OLD #7 BLACK LABEL MINI",1011400,"TENNESSEE WHISKIES","BROWN FORMAN CORP.",50,11.50,17.25
34821,"SVEDKA 80PRF",1031100,"AMERICAN VODKAS","CONSTELLATION BRANDS INC",1750,13.40,20.10
19226,"KNOB CREEK",1011200,"STRAIGHT BOURBON WHISKIES","JIM BEAM BRANDS",750,21.00,31.50
89387,"JUAREZ GOLD",1022100,"MIXTO TEQUILA","LUXCO INC",1000,7.83,11.75
20305,"OLD ELK SOUR MASH BOURBON",1701100,"TEMPORARY & SPECIALTY PACKAGES","OLD ELK DISTILLERIES LLC",750,42.50,63.75
38194,"TITOS HANDMADE VODKA MINI",1031100,"AMERICAN VODKAS","FIFTH GENERATION INC",50,12.80,19.20
27746,"BIRD DOG PEACH",1011100,"BLENDED WHISKIES","WESTERN SPIRITS BEVERAGE",1750,17.33,26.00
28238,"BOMBAY SAPPHIRE GIN",1042100,"IMPORTED DRY GINS","BACARDI USA INC",1750,26.50,39.75
87150,"AVION SILVER",1022200,"100% AGAVE TEQUILA","PERNOD RICARD USA",750,20.98,31.47
43024,"ADMIRAL NELSON SPICED",1062400,"SPICED RUM","HEAVEN HILL BRANDS",375,2.99,4.49
38177,"TITOS HANDMADE VODKA",1031100,"AMERICAN VODKAS","FIFTH GENERATION INC",1000,12.67,19.01
37938,"SKOL VODKA",1031100,"AMERICAN VODKAS","SAZERAC COMPANY  INC",1750,7.11,10.67
85796,"MR BOSTON ROCK & RYE",1081600,"WHISKEY LIQUEUR","SAZERAC COMPANY  INC",750,4.93,7.40
101495,"CIROC VAP W/ 2 GLASSES",1701100,"TEMPORARY & SPECIALTY PACKAGES","DIAGEO AMERICAS",750,16.49,24.74
12406,"CANADIAN LTD WHISKY",1012100,"CANADIAN WHISKIES","SAZERAC COMPANY  INC",750,4.34,6.51
37998,"SMIRNOFF 80PRF",1031100,"AMERICAN VODKAS","DIAGEO AMERICAS",1750,14.75,22.13
43026,"ADMIRAL NELSON SPICED",1062400,"SPICED RUM","HEAVEN HILL BRANDS",750,6.00,9.00
88036,"MARGARITAVILLE SILVER TEQUILA",1022200,"100% AGAVE TEQUILA","SAZERAC COMPANY  INC",750,7.51,11.27
48099,"HENNESSY VS",1052100,"IMPORTED BRANDIES","MOET HENNESSY USA",200,6.99,10.49
64865,"FIREBALL CINNAMON WHISKEY PET",1081600,"WHISKEY LIQUEUR","SAZERAC COMPANY  INC",750,8.98,13.47
100901,"OLD ELK BLENDED BOURBON VAP",1701100,"TEMPORARY & SPECIALTY PACKAGES","OLD ELK DISTILLERIES LLC",750,25.00,37.50
5329,"JOHNNIE WALKER BLUE",1012200,"SCOTCH WHISKIES","DIAGEO AMERICAS",750,130.00,195.00
67037,"TWISTED SHOTZ BUTTERY NIPPLE",1071100,"COCKTAILS/RTD","MHW LTD",1800,54.18,81.27
34006,"ABSOLUT SWEDISH VODKA 80PRF",1032100,"IMPORTED VODKAS","PERNOD RICARD USA",750,9.99,14.99
36886,"MCCORMICK 80PRF VODKA",1031100,"AMERICAN VODKAS","MCCORMICK DISTILLING CO.",750,3.31,4.97
58873,"JOSE CUERVO AUTHENTIC WATERMELON MARGARITA",1071100,"COCKTAILS/RTD","PROXIMO",1750,8.74,13.11
35948,"FLEISCHMANNS 80PRF VODKA",1031100,"AMERICAN VODKAS","SAZERAC COMPANY  INC",1750,6.50,9.75
65200,"TEQUILA ROSE LIQUEUR",1081200,"CREAM LIQUEURS","MCCORMICK DISTILLING CO.",750,11.50,17.25
FIFTH GENERATION INC,"38176",DUBUQUE,"1031100","301",12,750,10.00
77647,"SMIRNOFF CITRUS",1031200,"AMERICAN FLAVORED VODKA","DIAGEO AMERICAS",750,8.25,12.38
72911,"CAPTAIN MORGAN ORANGE VANILLA TWIST",1062500,"FLAVORED RUM","DIAGEO AMERICAS",750,9.06,13.59
