id,name,country,type
"Q152409","Zyklon B","","gin"
"Q2079284","camphorball","","gin"
"Q7170258","Persian powder","","gin"
"Q28134977","ContraPest","","gin"
"Q65077692","Demeter operation","","gin"
"Q98033919","Noctovi","","gin"
"Q98033927","Tuval","","gin"
"Q105908373","Mitin","","gin"
