id,name,country
"Q865859","Peroni Brewery","Italy"
"Q866161","Bischofshof Regensburg","Germany"
"Q787066","Spaten-Franziskaner-Bräu","Germany"
"Q870325","Würzburger Hofbräu","Germany"
"Q794591","Hook Norton Brewery","United Kingdom"
"Q874166","Spatenbräu","Germany"
"Q698957","Erdinger","Germany"
"Q861679","Balashi","Aruba"
"Q900200","Eck","Germany"
"Q805254","Ballhaus Watzke","Germany"
"Q805734","Baltika Breweries","Russia"
"Q720479","Asahi Breweries","Japan"
"Q694218","Krombacher Brauerei","Germany"
"Q811986","Bavaria – St. Pauli Brewery","Germany"
"Q812294","Bavarian State Brewery Weihenstephan","Germany"
"Q812397","Brewery and Bakery Museum Kulmbach","Germany"
"Q696787","Warsteiner","Germany"
"Q778904","Stein Castle","Germany"
"Q900166","Eichhof","Switzerland"
"Q706698","Bitburger brewery","Germany"
"Q1826073","Lindener Aktien-Brauerei","Germany"
"Q1828277","Brouwerij De Molen","Netherlands"
"Q1697649","Lang-Bräu","Germany"
"Q1851509","Saku Brewery","Estonia"
"Q1856260","Tempo Beverages Ltd","Israel"
"Q1727789","Waldhaus","Germany"
"Q1867904","De Drie Hoefijzers","Netherlands"
"Q1868711","Girardin Brewery","Belgium"
"Q1875263","Brouwerij Aigle Belgica","Belgium"
"Q1879905","Löwenbräu Buttenheim","Germany"
"Q1880196","Brauerei zur Walkmühle H. Lück","Germany"
"Q1881997","Van Eecke brewery","Belgium"
"Q1887996","Mälzerei","Germany"
"Q1908775","Mathäser","Germany"
"Q1907605","Brasserie Nationale","Luxembourg"
"Q1915708","Mecklenburgische Brauerei Lübz","German Democratic Republic"
"Q1541085","Schloss Bruchhausen","Germany"
"Q1544436","Schloss Königs Wusterhausen","Germany"
"Q1879897","Löwenbrauerei","Germany"
"Q1551459","Freising Brewery","Germany"
"Q1553374","Luitpoldstraße 14","Germany"
"Q1587723","Hartwall","Finland"
"Q1565893","Kloster Dalheim","Germany"
"Q1566383","Haake-Beck","Germany"
"Q1567552","Palm Breweries","Belgium"
"Q1575609","Taybeh Brewery","Palestine"
"Q1581385","U Fleků","Czech Republic"
"Q1583704","Hanseatische Brauerei Rostock","Germany"
"Q1589080","Hatz-Moninger Brauhaus","Germany"
"Q1590327","Luitpoldstraße 3","Germany"
"Q1606900","Alpirsbacher Klosterbräu","Germany"
"Q1614112","Herrenhäuser Brewery","Germany"
"Q1614311","Herrnbräu","Germany"
"Q1615321","Herzoglich Bayerisches Brauhaus Tegernsee","Germany"
"Q1622954","Hofbrauhaus Arolsen","Germany"
"Q1622956","Hofbrauhaus Wolters","Germany"
"Q1623185","Hofmark Brauerei","Germany"
"Q1622961","Hofbräu Kaltenhausen","Austria"
"Q1632494","Huyghe Brewery","Belgium"
"Q1589080","Hatz-Moninger Brauhaus","German Reich"
"Q1637028","Mythos Beer","Greece"
"Q1649984","Klosterbräu Bamberg","Germany"
"Q1730602","Schloss Blumenthal","Germany"
"Q1663229","Ingobräu","Germany"
"Q1614311","Herrnbräu","German Reich"
"Q1673225","Klosterbräu Irsee","Germany"
"Q1673806","Brauerei W. Isenbeck & Co","Germany"
"Q1685971","Leipziger Brauhaus zu Reudnitz","Germany"
"Q1694518","Privatbrauerei Iserlohn","Germany"
"Q1709042","Brauerei Strate","Germany"
"Q1721585","Kaiser Bräu","Germany"
"Q1733221","Löwenbrauerei Passau","Germany"
"Q1742438","Kulmbacher Brewery","Germany"
"Q1743963","Kitzmann-Bräu","Germany"
"Q1745170","Schloss Kaltenberg","Germany"
"Q1748810","Macks Ølbryggeri","Norway"
"Q1882541","Brouwerij Excelsior","Belgium"
"Q1764694","Brooklyn Brewery","United States"
"Q1763150","Privatbrauerei Schwerter Meißen","Germany"
"Q1770148","Schloss Hundisburg","Germany"
"Q1775437","Kloster Kreuzberg","Germany"
"Q1776289","Kloster Wöltingerode","Germany"
"Q1776275","Weissenohe Abbey","Germany"
"Q1776382","Klosterbrauerei Andechs","Germany"
"Q1777013","Brauerei Kneitinger","Germany"
"Q1777966","Königsbacher","Germany"
"Q1788338","Meckatzer Löwenbräu","Germany"
"Q1789348","Schlossbrauerei Neunkirchen","Germany"
"Q1796123","Royal Brewery of Krušovice","Czech Republic"
"Q1795931","König Brauerei","Germany"
"Q1803875","Landskronbrauerei","Germany"
